Source,Target,IntervalNumber,StartTime,EndTime,Duration,DurationRatio,RangeMax,RangeMin,RangeRate,LinkID,LinkType
LEO_11 +X_OCT,LEO_27 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,8170358.9648,8066712.0496,20,LEO_11 +X_OCT--LEO_27 -X_OCT--1,LEO_LEO
LEO_11 +X_OCT,LEO_27 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,8170359.1789,8066712.23,20,LEO_11 +X_OCT--LEO_27 -Y_OCT--1,LEO_LEO
LEO_11 +X_OCT,LEO_47 +X_OCT,4,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7941073.2464,7446037.2748,30,LEO_11 +X_OCT--LEO_47 +X_OCT--4,LEO_LEO
LEO_11 +X_OCT,LEO_47 -Y_OCT,2,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7941073.0744,7446037.1034,30,LEO_11 +X_OCT--LEO_47 -Y_OCT--2,LEO_LEO
LEO_12 +X_OCT,LEO_33 +X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,1611843.8468,1023234.8765,30,LEO_12 +X_OCT--LEO_33 +X_OCT--1,LEO_LEO
LEO_12 +X_OCT,LEO_33 -Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,1611843.9955,1023235.1156,30,LEO_12 +X_OCT--LEO_33 -Y_OCT--1,LEO_LEO
LEO_12 +X_OCT,LEO_62 -Y_OCT,3,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7859063.4576,7626360.0041,30,LEO_12 +X_OCT--LEO_62 -Y_OCT--3,LEO_LEO
LEO_15 +X_OCT,LEO_31 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,8170358.9648,8066712.0496,20,LEO_15 +X_OCT--LEO_31 -X_OCT--1,LEO_LEO
LEO_15 +X_OCT,LEO_31 +Y_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 00:01:30,90,0.0125,8170359.1789,8066712.23,20,LEO_15 +X_OCT--LEO_31 +Y_OCT--1,LEO_LEO
LEO_15 +X_OCT,LEO_43 +X_OCT,4,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7941073.2464,7446037.2748,30,LEO_15 +X_OCT--LEO_43 +X_OCT--4,LEO_LEO
LEO_15 +X_OCT,LEO_43 +Y_OCT,2,16-Feb-2023 01:58:30,16-Feb-2023 02:00:00,90,0.0125,7941073.0744,7446037.1034,30,LEO_15 +X_OCT--LEO_43 +Y_OCT--2,LEO_LEO
