Source,Target,StartTime,EndTime,LinkType
LEO_4 +Y_OCT,LEO_60 -Y_OCT,16-Feb-2023 01:38:30,16-Feb-2023 02:00:00,LEO_LEO
LEO_56 +Y_OCT,LEO_63 -Y_OCT,16-Feb-2023 01:39:30,16-Feb-2023 02:00:00,LEO_LEO
LEO_52 -Y_OCT,LEO_59 +Y_OCT,16-Feb-2023 01:39:30,16-Feb-2023 02:00:00,LEO_LEO
LEO_25 +Y_OCT,LEO_40 -Y_OCT,16-Feb-2023 00:00:00,16-Feb-2023 00:19:30,LEO_LEO
LEO_29 -Y_OCT,LEO_36 +Y_OCT,16-Feb-2023 00:00:00,16-Feb-2023 00:19:30,LEO_LEO
LEO_33 +Y_OCT,LEO_48 -Y_OCT,16-Feb-2023 00:00:00,16-Feb-2023 00:18:30,LEO_LEO
LEO_37 -Y_OCT,LEO_44 +Y_OCT,16-Feb-2023 00:00:00,16-Feb-2023 00:18:30,LEO_LEO
LEO_48 +Y_OCT,LEO_55 -Y_OCT,16-Feb-2023 01:41:30,16-Feb-2023 02:00:00,LEO_LEO
LEO_44 -Y_OCT,LEO_51 +Y_OCT,16-Feb-2023 01:41:30,16-Feb-2023 02:00:00,LEO_LEO
LEO_41 +Y_OCT,LEO_56 -Y_OCT,16-Feb-2023 00:00:00,16-Feb-2023 00:16:30,LEO_LEO
LEO_45 -Y_OCT,LEO_52 +Y_OCT,16-Feb-2023 00:00:00,16-Feb-2023 00:16:30,LEO_LEO
LEO_40 +Y_OCT,LEO_47 -Y_OCT,16-Feb-2023 01:43:30,16-Feb-2023 02:00:00,LEO_LEO
LEO_36 -Y_OCT,LEO_43 +Y_OCT,16-Feb-2023 01:43:30,16-Feb-2023 02:00:00,LEO_LEO
